country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BR,GOS,Goiatins,Goiatins,TO,AA,--3-----,,-7.7,-47.3
BR,GOB,Goiatuba,Goiatuba,GO,AA,--3-----,,-18,-49.35
BR,GOE,Goioer�,Goioere,PR,AA,--34----,,-24.183333333333334,-53.016666666666666
BR,GOM,Goioxim,Goioxim,PR,AA,--3-----,,-25.2,-52
BR,GCS,Gon�alves,Goncalves,MG,AA,--3-----,,-22.65,-45.85
BR,GDA,Gon�alves Dias,Goncalves Dias,MA,AA,--3-----,,-5.133333333333334,-44.3
BR,GOI,Gongogi,Gongogi,BA,AA,--3-----,,-14.316666666666666,-39.46666666666667
BR,GZG,Gonzaga,Gonzaga,MG,AA,--3-----,,-18.816666666666666,-42.46666666666667
BR,GEA,Gouveia,Gouveia,MG,AA,--3-----,,-18.433333333333334,-43.733333333333334
BR,GVI,Gouvel�ndia,Gouvelandia,GO,AA,--3-----,,-18.433333333333334,-50.13333333333333
BR,GAE,Governador Archer,Governador Archer,MA,AA,--3-----,,-5.016666666666667,-44.266666666666666
BR,GCR,Governador Celso Ramos,Governador Celso Ramos,SC,AA,--3-----,,-27.316666666666666,-48.56666666666667
BR,GDX,Governador Dix-Sept Rosado,Governador Dix-Sept Rosado,RN,AA,--3-----,,-5.45,-37.516666666666666
BR,GEL,Governador Edison Lob�o,Governador Edison Lobao,MA,AA,--3-----,,-5.733333333333333,-47.36666666666667
BR,GEB,Governador Eug�nio Barros,Governador Eugenio Barros,MA,AA,--3-----,,-5.316666666666666,-44.233333333333334
BR,GJT,Governador Jorge Teixeira,Governador Jorge Teixeira,RO,AA,--3-----,,-10.6,-62.733333333333334
BR,GLG,Governador Lindenberg,Governador Lindenberg,ES,AA,--3-----,,-19.25,-40.45
BR,GLR,Governador Luiz Rocha,Governador Luiz Rocha,MA,AA,--3-----,,-5.466666666666667,-44.06666666666667
BR,GMA,Governador Mangabeira,Governador Mangabeira,BA,AA,--3-----,,-12.6,-39.03333333333333
BR,GNB,Governador Newton Bello,Governador Newton Bello,MA,AA,--3-----,,-3.4166666666666665,-45.666666666666664
BR,GNF,Governador Nunes Freire,Governador Nunes Freire,MA,AA,--3-----,,-2.1333333333333333,-45.86666666666667
BR,GVR,Governador Valadares,Governador Valadares,MG,AA,-234-6--,,-18.85,-41.93333333333333
BR,GRC,Gra�a,Graca,CE,AA,--3-----,,-4.033333333333333,-40.75
BR,GAH,Gra�a Aranha,Graca Aranha,MA,AA,--3-----,,-5.4,-44.333333333333336
BR,GCO,Gracho Cardoso,Gracho Cardoso,SE,AA,--3-----,,-10.216666666666667,-37.18333333333333
BR,GJA,Graja�,Grajau,MA,AA,--3-----,,-5.816666666666666,-46.13333333333333
BR,GRO,Gramado,Gramado,RS,AA,--3-----,,-29.366666666666667,-50.86666666666667
BR,GDL,Gramado dos Loureiros,Gramado dos Loureiros,RS,AA,--3-----,,-27.433333333333334,-52.916666666666664
BR,GXR,Gramado Xavier,Gramado Xavier,RS,AA,--3-----,,-29.266666666666666,-52.56666666666667
BR,GDR,Grandes Rios,Grandes Rios,PR,AA,--3-----,,-24.133333333333333,-51.5
BR,GAO,Granito,Granito,PE,AA,--3-----,,-7.7,-39.61666666666667
BR,GRJ,Granja,Granja,CE,AA,--3-----,,-3.1166666666666667,-40.81666666666667
BR,GJO,Granjeiro,Granjeiro,CE,AA,--3-----,,-6.883333333333333,-39.21666666666667
BR,GML,Gr�o Mogol,Grao Mogol,MG,AA,--3-----,,-16.55,-42.88333333333333
BR,GPR,Gr�o Par�,Grao Para,SC,AA,--3-----,,-28.183333333333334,-49.21666666666667
BR,GVT,Gravat�,Gravata,PE,AA,--3-----,,-8.2,-35.56666666666667
